Date,Sum
2010-07-22,179277.421999997
2010-07-23,177480.030000002
2010-07-24,174600.297000002
2010-07-25,169078.529999999
2010-07-26,162451.883000004
2010-07-27,175259.378000001
2010-07-28,175985.660999998
2010-07-29,174444.208000001
2010-07-30,175314.326999996
2010-07-31,177670.723999998
2010-08-01,168064.523000000
2010-08-02,157986.466000000
2010-08-03,159814.405000004
2010-08-04,175219.171000000
2010-08-05,174891.470000000
2010-08-06,176352.204000000
2010-08-07,177246.817000002
2010-08-08,168352.000000000
2010-08-09,158934.366000005
2010-08-10,174333.241000002
2010-08-11,174327.171000002
2010-08-12,175090.189000001
2010-08-13,175679.514999997
2010-08-14,175281.413999999
2010-08-15,168259.287999998
2010-08-16,157796.864999997
2010-08-17,178723.545000004
2010-08-18,176871.041000001
2010-08-19,176635.557999998
2010-08-20,180063.408999998
2010-08-21,176372.408999999
2010-08-22,170184.790999995
2010-08-23,162566.604999998
2010-08-24,177224.437000002
2010-08-25,179127.027000006
2010-08-26,177805.769999998
2010-08-27,176841.134999995
2010-08-28,176824.006000001
2010-08-29,171807.013000004
2010-08-30,165291.017000004
2010-08-31,176263.103000000
2010-09-01,177977.701000004
2010-09-02,176224.640000006
2010-09-03,176564.749000004
2010-09-04,176027.091999997
2010-09-05,176589.138000006
2010-09-06,174838.448000001
2010-09-07,185463.711999991
2010-09-08,183383.472999998
2010-09-09,181399.992000002
2010-09-10,183225.348999998
2010-09-11,181948.141000003
2010-09-12,178495.327000004
2010-09-13,171840.038999999
2010-09-14,184769.310999998
2010-09-15,184021.838000001
2010-09-16,182102.933000004
2010-09-17,180911.014000000
2010-09-18,181150.624999997
2010-09-19,181979.153000007
2010-09-20,176687.669000004
2010-09-21,180644.944000003
2010-09-22,182155.706000002
2010-09-23,183817.371000002
2010-09-24,184081.922000004
2010-09-25,181470.044999999
2010-09-26,178336.130999999
2010-09-27,171076.081999998
2010-09-28,182486.647999996
2010-09-29,186949.442000000
2010-09-30,182962.141999999
2010-10-01,184778.723000000
2010-10-02,183169.585999999
2010-10-03,183531.159000001
2010-10-04,174555.774000000
2010-10-05,185954.971999999
2010-10-06,184348.310999997
2010-10-07,184182.691999998
2010-10-08,184018.953000006
2010-10-09,184508.882000005
2010-10-10,181544.499000003
2010-10-11,176348.263000002
2010-10-12,181578.630000005
2010-10-13,185292.060000007
2010-10-14,191182.888000002
2010-10-15,190975.883000001
2010-10-16,187040.141000011
2010-10-17,183597.258000004
2010-10-18,178758.146000004
2010-10-19,191624.610000005
2010-10-20,192981.268000003
2010-10-21,193595.353000008
2010-10-22,193694.855000000
2010-10-23,196977.400000000
2010-10-24,186227.651000001
2010-10-25,177110.213000000
2010-10-26,180994.968000001
2010-10-27,199923.299000000
2010-10-28,197593.942000001
2010-10-29,200503.593999994
2010-10-30,201756.677999998
2010-10-31,192068.026000003
2010-11-01,195234.416000004
2010-11-02,206008.375000003
2010-11-03,207258.010999999
2010-11-04,205079.997000003
2010-11-05,202763.045000000
2010-11-06,202907.219999997
2010-11-07,199445.714000005
2010-11-08,196210.470000001
2010-11-09,207719.219999995
2010-11-10,210580.610999997
2010-11-11,210327.045000007
2010-11-12,209434.877000003
2010-11-13,207010.064000000
2010-11-14,203665.917000004
2010-11-15,196667.596000002
2010-11-16,213121.775000001
2010-11-17,216876.274000000
2010-11-18,210499.045000001
2010-11-19,208449.346000000
2010-11-20,207981.441999999
2010-11-21,204258.858999997
2010-11-22,197321.532999998
2010-11-23,216231.312999997
2010-11-24,216980.491000005
2010-11-25,218019.484000009
2010-11-26,219014.545999997
2010-11-27,220064.134000005
2010-11-28,218068.545999997
2010-11-29,214982.842999999
2010-11-30,236525.901000000
2010-12-01,243153.054000000
2010-12-02,242484.693999998
2010-12-03,243078.998000002
2010-12-04,244212.299000002
2010-12-05,218239.823000004
2010-12-06,206741.345000008
2010-12-07,243438.596000004
2010-12-08,246247.076000005
2010-12-09,247286.564999998
2010-12-10,243851.553999997
2010-12-11,233601.227999999
2010-12-12,221944.813999999
2010-12-13,217014.801000002
2010-12-14,236391.216000003
2010-12-15,235636.298000002
2010-12-16,238503.391000001
2010-12-17,236341.270999997
2010-12-18,242644.462000001
2010-12-19,239088.624999995
2010-12-20,234269.848999997
2010-12-21,260118.211000004
2010-12-22,271174.850000004
2010-12-23,274086.633000003
2010-12-24,254176.743000006
2010-12-25,280816.886000002
2010-12-26,270873.587999997
2010-12-27,240925.038000006
2010-12-28,226933.067000002
2010-12-29,217643.031000000
2010-12-30,220149.868999999
2010-12-31,219638.733000001
2011-01-01,221597.614999999
